route_id,source_airport_id,dest_airport_id,distance_km,base_cost_usd,flight_duration_mins,fuel_cost_usd,crew_cost_usd,maintenance_cost_usd,total_cost_usd,demand_level
R001,AP001,AP002,1260,350,165,4500,1200,800,6500,High
R002,AP001,AP003,2100,450,195,6000,1500,1000,8500,High
R003,AP001,AP004,1550,380,175,5000,1300,900,7200,High
R004,AP001,AP005,2100,450,195,6000,1500,1000,8500,Medium
R005,AP001,AP006,1450,360,170,4800,1200,850,6850,Medium
R006,AP002,AP004,700,180,95,2800,800,500,4100,High
R007,AP002,AP003,950,220,110,3500,900,600,5000,High
R008,AP002,AP007,850,200,100,3200,850,550,4550,Medium
R009,AP003,AP004,450,120,65,1800,600,350,2750,High
R010,AP003,AP008,450,120,65,1800,600,350,2750,Low
R011,AP003,AP009,550,150,75,2200,700,400,3300,Medium
R012,AP004,AP007,500,130,70,2000,650,380,3030,Low
R013,AP004,AP008,350,100,55,1400,500,300,2200,Medium
R014,AP005,AP009,600,160,80,2400,750,420,3570,Medium
R015,AP006,AP009,2100,450,195,6000,1500,1000,8500,Low
R016,AP007,AP008,250,80,40,1000,400,250,1650,Medium
R017,AP001,AP009,2300,480,210,6500,1600,1100,9200,Medium
R018,AP002,AP006,1250,340,160,4500,1200,800,6500,Low
R019,AP001,AP007,1600,390,180,5200,1350,900,7450,Low
R020,AP004,AP009,800,190,100,3000,850,550,4400,Medium
